,away_team,date,home_team,score,time,url,matchId
0,Inter,Aug 13 2022,Lecce,01:02,19:45,/Matches/1651431/Live/Italy-Serie-A-2022-2023-Lecce-Inter,1651431
1,Torino,Aug 13 2022,Monza,01:02,19:45,/Matches/1651426/Live/Italy-Serie-A-2022-2023-Monza-Torino,1651426
2,Udinese,Aug 13 2022,AC Milan,04:02,17:30,/Matches/1651425/Live/Italy-Serie-A-2022-2023-AC-Milan-Udinese,1651425
3,Atalanta,Aug 13 2022,Sampdoria,00:02,17:30,/Matches/1651427/Live/Italy-Serie-A-2022-2023-Sampdoria-Atalanta,1651427
4,Empoli,Aug 14 2022,Spezia,01:00,19:45,/Matches/1651430/Live/Italy-Serie-A-2022-2023-Spezia-Empoli,1651430
5,Cremonese,Aug 14 2022,Fiorentina,03:02,17:30,/Matches/1651429/Live/Italy-Serie-A-2022-2023-Fiorentina-Cremonese,1651429
6,Bologna,Aug 14 2022,Lazio,02:01,17:30,/Matches/1651428/Live/Italy-Serie-A-2022-2023-Lazio-Bologna,1651428
7,Roma,Aug 14 2022,Salernitana,00:01,19:45,/Matches/1651432/Live/Italy-Serie-A-2022-2023-Salernitana-Roma,1651432
8,Sassuolo,Aug 15 2022,Juventus,03:00,19:45,/Matches/1651424/Live/Italy-Serie-A-2022-2023-Juventus-Sassuolo,1651424
9,Napoli,Aug 15 2022,Verona,02:05,17:30,/Matches/1651423/Live/Italy-Serie-A-2022-2023-Verona-Napoli,1651423
10,Lazio,Aug 20 2022,Torino,00:00,17:30,/Matches/1651459/Live/Italy-Serie-A-2022-2023-Torino-Lazio,1651459
11,Salernitana,Aug 20 2022,Udinese,00:00,17:30,/Matches/1651461/Live/Italy-Serie-A-2022-2023-Udinese-Salernitana,1651461
12,Lecce,Aug 20 2022,Sassuolo,01:00,19:45,/Matches/1651457/Live/Italy-Serie-A-2022-2023-Sassuolo-Lecce,1651457
13,Spezia,Aug 20 2022,Inter,03:00,19:45,/Matches/1651449/Live/Italy-Serie-A-2022-2023-Inter-Spezia,1651449
14,AC Milan,Aug 21 2022,Atalanta,01:01,19:45,/Matches/1651443/Live/Italy-Serie-A-2022-2023-Atalanta-AC-Milan,1651443
15,Fiorentina,Aug 21 2022,Empoli,00:00,17:30,/Matches/1651447/Live/Italy-Serie-A-2022-2023-Empoli-Fiorentina,1651447
16,Monza,Aug 21 2022,Napoli,04:00,17:30,/Matches/1651451/Live/Italy-Serie-A-2022-2023-Napoli-Monza,1651451
17,Verona,Aug 21 2022,Bologna,01:01,19:45,/Matches/1651445/Live/Italy-Serie-A-2022-2023-Bologna-Verona,1651445
18,Cremonese,Aug 22 2022,Roma,01:00,17:30,/Matches/1651453/Live/Italy-Serie-A-2022-2023-Roma-Cremonese,1651453
19,Juventus,Aug 22 2022,Sampdoria,00:00,19:45,/Matches/1651455/Live/Italy-Serie-A-2022-2023-Sampdoria-Juventus,1651455
20,Udinese,Aug 26 2022,Monza,01:02,17:30,/Matches/1651452/Live/Italy-Serie-A-2022-2023-Monza-Udinese,1651452
21,Inter,Aug 26 2022,Lazio,03:01,19:45,/Matches/1651446/Live/Italy-Serie-A-2022-2023-Lazio-Inter,1651446
22,Sassuolo,Aug 27 2022,Spezia,02:02,19:45,/Matches/1651456/Live/Italy-Serie-A-2022-2023-Spezia-Sassuolo,1651456
23,Roma,Aug 27 2022,Juventus,01:01,17:30,/Matches/1651444/Live/Italy-Serie-A-2022-2023-Juventus-Roma,1651444
24,Torino,Aug 27 2022,Cremonese,01:02,17:30,/Matches/1651463/Live/Italy-Serie-A-2022-2023-Cremonese-Torino,1651463
25,Bologna,Aug 27 2022,AC Milan,02:00,19:45,/Matches/1651450/Live/Italy-Serie-A-2022-2023-AC-Milan-Bologna,1651450
26,Empoli,Aug 28 2022,Lecce,01:01,19:45,/Matches/1651448/Live/Italy-Serie-A-2022-2023-Lecce-Empoli,1651448
27,Atalanta,Aug 28 2022,Verona,00:01,17:30,/Matches/1651442/Live/Italy-Serie-A-2022-2023-Verona-Atalanta,1651442
28,Napoli,Aug 28 2022,Fiorentina,00:00,19:45,/Matches/1651466/Live/Italy-Serie-A-2022-2023-Fiorentina-Napoli,1651466
29,Sampdoria,Aug 28 2022,Salernitana,04:00,17:30,/Matches/1651454/Live/Italy-Serie-A-2022-2023-Salernitana-Sampdoria,1651454
